County,lat,lon,ndvi_change,pixels,area_acres,development_score,classification,ndbi_pct,ndbi_change,compactness,thumbnail_url
Maricopa AZ SE Valley,33.326898,-111.689036,-0.477,312,7.71,85,ACTIVE DEVELOPMENT,100.0,0.2286,28.3,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_26.png
Maricopa AZ SE Valley,33.294184,-111.622229,-0.398,225,5.56,85,ACTIVE DEVELOPMENT,100.0,0.26,52.8,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_27.png
Maricopa AZ SE Valley,33.215831,-111.555114,-0.37,317,7.83,84,ACTIVE DEVELOPMENT,100.0,0.2541,46.2,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_28.png
Maricopa AZ SE Valley,33.239274,-111.770461,-0.498,96,2.37,84,ACTIVE DEVELOPMENT,100.0,0.3084,31.5,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_29.png
Maricopa AZ SE Valley,33.25898,-111.684658,-0.43,87,2.15,84,ACTIVE DEVELOPMENT,100.0,0.3175,31.1,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_30.png
Maricopa AZ SE Valley,33.234251,-111.90027,-0.548,115,2.84,83,ACTIVE DEVELOPMENT,100.0,0.5537,37.9,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_31.png
Maricopa AZ SE Valley,33.184021,-111.558482,-0.588,108,2.67,83,ACTIVE DEVELOPMENT,100.0,0.5147,41.6,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_32.png
Maricopa AZ SE Valley,33.299371,-111.735141,-0.415,1279,31.6,82,ACTIVE DEVELOPMENT,100.0,0.1905,24.8,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_33.png
Maricopa AZ SE Valley,33.321831,-111.692877,-0.511,973,24.04,82,ACTIVE DEVELOPMENT,98.9,0.2377,50.7,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_34.png
Maricopa AZ SE Valley,33.207161,-111.869557,-0.327,330,8.15,82,ACTIVE DEVELOPMENT,100.0,0.2286,42.2,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_35.png
Maricopa AZ SE Valley,33.329915,-111.690562,-0.465,505,12.48,81,ACTIVE DEVELOPMENT,99.6,0.2145,41.1,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_36.png
Maricopa AZ SE Valley,33.239591,-111.585213,-0.453,254,6.28,81,ACTIVE DEVELOPMENT,100.0,0.2076,37.0,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_37.png
Maricopa AZ SE Valley,33.209311,-111.869175,-0.369,97,2.4,81,ACTIVE DEVELOPMENT,100.0,0.2696,32.3,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_38.png
Maricopa AZ SE Valley,33.272801,-111.629756,-0.468,93,2.3,80,ACTIVE DEVELOPMENT,87.1,0.2539,15.5,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_39.png
Maricopa AZ SE Valley,33.401548,-111.578999,-0.319,92,2.27,79,ACTIVE DEVELOPMENT,100.0,0.2734,45.9,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_40.png
Maricopa AZ SE Valley,33.295003,-111.623779,-0.4,167,4.13,78,ACTIVE DEVELOPMENT,100.0,0.2704,56.3,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_41.png
Maricopa AZ SE Valley,33.31982,-111.702727,-0.442,158,3.9,78,ACTIVE DEVELOPMENT,100.0,0.1807,16.5,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_42.png
Maricopa AZ SE Valley,33.408149,-111.896713,-0.426,336,8.3,75,ACTIVE DEVELOPMENT,94.9,0.2082,128.8,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_43.png
Maricopa AZ SE Valley,33.277142,-111.834045,-0.39,101,2.5,74,ACTIVE DEVELOPMENT,100.0,0.1551,17.5,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_44.png
Maricopa AZ SE Valley,33.26687,-111.778585,-0.427,129,3.19,72,ACTIVE DEVELOPMENT,100.0,0.1833,30.8,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_45.png
Maricopa AZ SE Valley,33.366942,-111.801813,-0.444,106,2.62,69,ACTIVE DEVELOPMENT,85.8,0.2337,61.9,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_46.png
Maricopa AZ SE Valley,33.324349,-111.748359,-0.348,337,8.33,67,ACTIVE DEVELOPMENT,100.0,0.0619,33.3,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_47.png
Maricopa AZ SE Valley,33.266001,-111.778958,-0.367,193,4.77,67,ACTIVE DEVELOPMENT,100.0,0.151,50.8,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_48.png
Maricopa AZ SE Valley,33.256458,-111.68398,-0.529,358,8.85,66,ACTIVE DEVELOPMENT,55.9,0.2599,76.0,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_se_valley_site_49.png
Maricopa AZ West Valley,33.448012,-112.299298,-0.567,515,12.73,95,ACTIVE DEVELOPMENT,100.0,0.3148,18.3,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_1.png
Maricopa AZ West Valley,33.412749,-112.298641,-0.507,294,7.26,94,ACTIVE DEVELOPMENT,100.0,0.2815,17.6,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_2.png
Maricopa AZ West Valley,33.445475,-112.29926,-0.465,210,5.19,93,ACTIVE DEVELOPMENT,100.0,0.2467,14.4,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_3.png
Maricopa AZ West Valley,33.415648,-112.299074,-0.469,605,14.95,92,ACTIVE DEVELOPMENT,100.0,0.272,19.6,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_4.png
Maricopa AZ West Valley,33.385772,-112.47698,-0.501,210,5.19,88,ACTIVE DEVELOPMENT,100.0,0.2857,47.6,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_5.png
Maricopa AZ West Valley,33.372097,-112.433029,-0.451,452,11.17,87,ACTIVE DEVELOPMENT,100.0,0.3088,90.3,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_6.png
Maricopa AZ West Valley,33.394258,-112.700937,-0.448,439,10.85,85,ACTIVE DEVELOPMENT,100.0,0.2063,20.6,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_7.png
Maricopa AZ West Valley,33.527302,-112.433768,-0.568,96,2.37,85,ACTIVE DEVELOPMENT,97.9,0.3239,23.0,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_8.png
Maricopa AZ West Valley,33.41257,-112.299727,-0.494,184,4.55,84,ACTIVE DEVELOPMENT,100.0,0.2873,25.9,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_9.png
Maricopa AZ West Valley,33.361399,-112.700451,-0.366,241,5.96,83,ACTIVE DEVELOPMENT,100.0,0.2186,32.1,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_10.png
Maricopa AZ West Valley,33.399131,-112.442995,-0.694,143,3.53,82,ACTIVE DEVELOPMENT,100.0,0.491,45.9,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_11.png
Maricopa AZ West Valley,33.393365,-112.431415,-0.639,191,4.72,80,ACTIVE DEVELOPMENT,100.0,0.3679,110.1,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_12.png
Maricopa AZ West Valley,33.383551,-112.42023,-0.555,212,5.24,78,ACTIVE DEVELOPMENT,83.0,0.2535,43.5,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_13.png
Maricopa AZ West Valley,33.420025,-112.41685,-0.442,146,3.61,78,ACTIVE DEVELOPMENT,100.0,0.2473,37.5,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_14.png
Maricopa AZ West Valley,33.374203,-112.459968,-0.312,114,2.82,78,ACTIVE DEVELOPMENT,100.0,0.2543,41.8,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_15.png
Maricopa AZ West Valley,33.385321,-112.394368,-0.492,190,4.69,76,ACTIVE DEVELOPMENT,97.4,0.2741,106.1,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_16.png
Maricopa AZ West Valley,33.408418,-112.549376,-0.481,142,3.51,75,ACTIVE DEVELOPMENT,97.9,0.1945,23.7,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_17.png
Maricopa AZ West Valley,33.46535,-112.322858,-0.417,114,2.82,73,ACTIVE DEVELOPMENT,95.6,0.2131,32.6,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_18.png
Maricopa AZ West Valley,33.394213,-112.431061,-0.374,283,6.99,71,ACTIVE DEVELOPMENT,100.0,0.1389,80.6,https://atlas-flc.github.io/flc-website/thumbnails/maricopa_az_west_valley_site_19.png
