County,Site #,Latitude,Longitude,Acres,NDVI Change,Size Category,Google Maps URL
Denton County TX,32,33.216454,-97.207536,2.42,-0.468,Small (2-5 ac),"https://www.google.com/maps?q=33.216454,-97.207536"
Denton County TX,33,33.168557,-97.273988,2.3,-0.44,Small (2-5 ac),"https://www.google.com/maps?q=33.168557,-97.273988"
Denton County TX,34,33.144418,-97.282409,2.15,-0.408,Small (2-5 ac),"https://www.google.com/maps?q=33.144418,-97.282409"
Denton County TX,35,33.22624,-97.109335,2.08,-0.443,Small (2-5 ac),"https://www.google.com/maps?q=33.22624,-97.109335"
Denton County TX,36,33.079667,-97.149509,2.08,-0.324,Small (2-5 ac),"https://www.google.com/maps?q=33.079667,-97.149509"
Denton County TX,37,33.067435,-97.335184,2.08,-0.568,Small (2-5 ac),"https://www.google.com/maps?q=33.067435,-97.335184"
Williamson County TX,1,30.710124,-97.88653,23.94,-0.406,Large (10+ ac),"https://www.google.com/maps?q=30.710124,-97.88653"
Williamson County TX,2,30.718425,-97.869992,16.36,-0.451,Large (10+ ac),"https://www.google.com/maps?q=30.718425,-97.869992"
Williamson County TX,3,30.793147,-97.894605,12.7,-0.47,Large (10+ ac),"https://www.google.com/maps?q=30.793147,-97.894605"
Williamson County TX,4,30.803537,-97.854327,7.93,-0.429,Medium (5-10 ac),"https://www.google.com/maps?q=30.803537,-97.854327"
Williamson County TX,5,30.793969,-97.881831,5.63,-0.425,Medium (5-10 ac),"https://www.google.com/maps?q=30.793969,-97.881831"
Williamson County TX,6,30.725627,-97.854677,4.94,-0.416,Small (2-5 ac),"https://www.google.com/maps?q=30.725627,-97.854677"
Williamson County TX,7,30.776486,-97.87026,4.25,-0.424,Small (2-5 ac),"https://www.google.com/maps?q=30.776486,-97.87026"
Williamson County TX,8,30.717958,-97.858499,2.57,-0.502,Small (2-5 ac),"https://www.google.com/maps?q=30.717958,-97.858499"
Williamson County TX,9,30.775891,-97.871504,2.32,-0.389,Small (2-5 ac),"https://www.google.com/maps?q=30.775891,-97.871504"
Williamson County TX,10,30.797509,-97.880091,2.2,-0.368,Small (2-5 ac),"https://www.google.com/maps?q=30.797509,-97.880091"
Douglas County CO,1,39.394448,-104.745585,41.41,-0.389,Large (10+ ac),"https://www.google.com/maps?q=39.394448,-104.745585"
Douglas County CO,2,39.398715,-104.740105,39.61,-0.391,Large (10+ ac),"https://www.google.com/maps?q=39.398715,-104.740105"
Douglas County CO,3,39.382782,-104.706413,34.94,-0.438,Large (10+ ac),"https://www.google.com/maps?q=39.382782,-104.706413"
Douglas County CO,4,39.385546,-104.702503,29.13,-0.444,Large (10+ ac),"https://www.google.com/maps?q=39.385546,-104.702503"
Douglas County CO,5,39.307557,-104.98961,28.94,-0.437,Large (10+ ac),"https://www.google.com/maps?q=39.307557,-104.98961"
Douglas County CO,6,39.4399,-104.936977,23.57,-0.363,Large (10+ ac),"https://www.google.com/maps?q=39.4399,-104.936977"
Douglas County CO,7,39.35542,-104.863254,17.2,-0.401,Large (10+ ac),"https://www.google.com/maps?q=39.35542,-104.863254"
Douglas County CO,8,39.349511,-104.727365,16.43,-0.409,Large (10+ ac),"https://www.google.com/maps?q=39.349511,-104.727365"
Douglas County CO,9,39.435864,-104.926322,14.7,-0.294,Large (10+ ac),"https://www.google.com/maps?q=39.435864,-104.926322"
Douglas County CO,10,39.38609,-104.737659,11.91,-0.488,Large (10+ ac),"https://www.google.com/maps?q=39.38609,-104.737659"
Douglas County CO,11,39.364061,-104.880686,11.44,-0.369,Large (10+ ac),"https://www.google.com/maps?q=39.364061,-104.880686"
Douglas County CO,12,39.43411,-104.967272,11.29,-0.315,Large (10+ ac),"https://www.google.com/maps?q=39.43411,-104.967272"
Douglas County CO,13,39.361082,-104.732031,10.5,-0.374,Large (10+ ac),"https://www.google.com/maps?q=39.361082,-104.732031"
Douglas County CO,14,39.338376,-104.751249,9.79,-0.485,Medium (5-10 ac),"https://www.google.com/maps?q=39.338376,-104.751249"
